B01001_001E,B01001B_001E,B01001_003E,B01001_004E,B01001_027E,B01001_028E,B01001B_003E,B01001B_004E,B01001B_018E,B01001B_019E,B01001_001M,B01001B_001M,B01001_003M,B01001_004M,B01001_027M,B01001_028M,B01001B_003M,B01001B_004M,B01001B_018M,B01001B_019M,state,zip code tabulation area
8518.0,214.0,184.0,163.0,160.0,225.0,0.0,0.0,0.0,0.0,567.0,145.0,81.0,94.0,73.0,103.0,15.0,15.0,15.0,15.0,42,17236
3985.0,47.0,196.0,187.0,225.0,205.0,0.0,0.0,0.0,0.0,465.0,57.0,65.0,67.0,74.0,72.0,10.0,10.0,10.0,10.0,42,17240
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,42,15625
728.0,10.0,31.0,17.0,13.0,21.0,0.0,0.0,0.0,0.0,181.0,23.0,26.0,16.0,13.0,27.0,10.0,10.0,10.0,10.0,42,15628
106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,42,15635
4054.0,4.0,192.0,120.0,213.0,124.0,0.0,0.0,0.0,0.0,362.0,6.0,90.0,58.0,87.0,74.0,10.0,10.0,10.0,10.0,42,15531
5307.0,57.0,17.0,88.0,84.0,131.0,0.0,0.0,0.0,0.0,301.0,63.0,25.0,76.0,65.0,73.0,15.0,15.0,15.0,15.0,42,15135
2228.0,16.0,87.0,126.0,35.0,64.0,0.0,0.0,0.0,0.0,237.0,16.0,83.0,54.0,25.0,35.0,10.0,10.0,10.0,10.0,42,15067
834.0,7.0,19.0,36.0,31.0,0.0,0.0,0.0,0.0,0.0,254.0,15.0,28.0,54.0,34.0,10.0,10.0,10.0,10.0,10.0,42,15076
7899.0,71.0,394.0,278.0,398.0,209.0,0.0,0.0,0.0,0.0,833.0,91.0,182.0,146.0,179.0,131.0,15.0,15.0,15.0,15.0,42,15126
12471.0,253.0,327.0,303.0,251.0,286.0,12.0,0.0,0.0,0.0,396.0,148.0,102.0,98.0,80.0,89.0,19.0,16.0,16.0,16.0,42,15215
22776.0,1437.0,503.0,765.0,767.0,415.0,82.0,15.0,60.0,48.0,771.0,336.0,145.0,166.0,260.0,94.0,53.0,24.0,65.0,44.0,42,15216
27758.0,1112.0,865.0,493.0,669.0,768.0,0.0,0.0,0.0,0.0,796.0,500.0,215.0,135.0,157.0,186.0,19.0,19.0,19.0,19.0,42,15217
30945.0,3846.0,602.0,969.0,774.0,888.0,142.0,206.0,58.0,215.0,668.0,370.0,150.0,218.0,167.0,160.0,95.0,100.0,60.0,81.0,42,15001
423.0,0.0,41.0,66.0,8.0,0.0,0.0,0.0,0.0,0.0,300.0,10.0,50.0,107.0,12.0,10.0,10.0,10.0,10.0,10.0,42,15004
1201.0,4.0,40.0,39.0,24.0,22.0,0.0,0.0,0.0,0.0,74.0,5.0,15.0,16.0,14.0,11.0,10.0,10.0,10.0,10.0,42,15015
151.0,0.0,5.0,12.0,7.0,10.0,0.0,0.0,0.0,0.0,57.0,10.0,9.0,10.0,8.0,17.0,10.0,10.0,10.0,10.0,42,15028
331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,42,15031
353.0,0.0,0.0,18.0,0.0,65.0,0.0,0.0,0.0,0.0,208.0,10.0,10.0,27.0,10.0,72.0,10.0,10.0,10.0,10.0,42,15038
2008.0,3.0,58.0,63.0,54.0,18.0,0.0,0.0,0.0,0.0,264.0,6.0,32.0,33.0,36.0,20.0,10.0,10.0,10.0,10.0,42,15043
4391.0,171.0,203.0,93.0,163.0,102.0,0.0,0.0,0.0,0.0,24.0,118.0,97.0,49.0,70.0,61.0,10.0,10.0,10.0,10.0,42,15045
15671.0,162.0,432.0,499.0,420.0,618.0,0.0,15.0,15.0,0.0,783.0,107.0,114.0,131.0,143.0,166.0,16.0,27.0,27.0,16.0,42,15057
11260.0,333.0,255.0,391.0,198.0,229.0,51.0,0.0,21.0,0.0,378.0,175.0,96.0,154.0,91.0,94.0,71.0,16.0,34.0,16.0,42,15063
318.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,104.0,10.0,10.0,13.0,13.0,13.0,10.0,10.0,10.0,10.0,42,15064
369.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,10.0,22.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,42,15444
676.0,0.0,19.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,302.0,10.0,25.0,10.0,10.0,27.0,10.0,10.0,10.0,10.0,42,15462
2288.0,59.0,60.0,86.0,46.0,28.0,0.0,0.0,0.0,0.0,495.0,56.0,64.0,93.0,53.0,26.0,10.0,10.0,10.0,10.0,42,15468
404.0,0.0,17.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,85.0,10.0,15.0,3.0,4.0,10.0,10.0,10.0,10.0,10.0,42,15483
20794.0,588.0,485.0,554.0,598.0,625.0,0.0,13.0,0.0,48.0,364.0,301.0,135.0,137.0,138.0,150.0,19.0,21.0,19.0,53.0,42,19008
9675.0,626.0,216.0,258.0,445.0,363.0,22.0,0.0,0.0,58.0,516.0,273.0,69.0,103.0,130.0,107.0,27.0,15.0,15.0,42.0,42,19021
